Age;Title;Country;Ordered Quantity;Ordered Value in Euro;Returned Value in Euro;Average Order Quantitiy;Average Order Value in Euro
;Misses;Germany;143;7210,12;3877,53;2,31;116,29
;Misses;Germany;143;7638,07;3674,24;2,23;119,34
;Misses;Germany;143;10623,16;5254,35;2,23;165,99
59;Misses;Germany;143;6689,29;4353,31;2,75;128,64
;Misses;Germany;143;6895,10;2713,76;2,47;118,88
56;Misses;Germany;143;2429,82;1263,78;4,09;69,42
;Misses;Germany;142;10933,37;6769,86;2,73;210,26
;Misses;Germany;142;9607,70;5736,77;3,30;223,43
;Misses;Germany;142;13630,00;7627,65;1,89;181,73
56;Misses;Germany;142;8516,55;3998,78;3,30;198,06
;Misses;Germany;142;9762,98;5138,39;1,97;135,60
61;Misses;Germany;142;4193,68;1329,93;15,78;465,96
35;Misses;;142;13283,12;8328,26;2,45;229,02
;Misses;Germany;142;7676,71;3399,72;2,15;116,31
33;Misses;Austria;142;6827,90;3407,10;2,78;133,88
;Misses;Germany;142;8562,54;4599,13;3,23;194,60
;Misses;Germany;142;11339,79;7218,75;2,09;166,76
56;Misses;Austria;142;8843,41;3289,39;1,84;114,85
;Misses;Germany;142;8402,25;3778,25;2,33;137,74
;Misses;Germany;142;8304,88;3524,59;3,30;193,14
50;Misses;;141;7959,50;4059,64;2,76;156,07
;Misses;Germany;141;14366,57;7965,84;1,74;177,37
;Misses;Germany;141;9447,32;4131,38;2,14;143,14
31;Misses;Austria;141;8020,30;4727,52;3,13;178,23
;Misses;Germany;141;9482,14;4034,98;2,76;185,92
;Misses;Germany;141;9957,58;7022,65;3,44;242,87
32;Mister;Germany;141;244,96;188,97;47,00;81,65
;Misses;Germany;141;12579,87;7203,55;2,76;246,66
;Misses;Germany;141;6542,29;3788,75;3,53;163,56
;Misses;Germany;141;8873,12;4645,85;4,03;253,52
;Misses;Germany;141;9389,78;3954,47;2,01;134,14
;Misses;Germany;140;10712,07;5535,40;2,46;187,93
;Misses;Germany;140;12772,53;7375,16;2,00;182,46
;Misses;Germany;140;13763,65;9776,22;6,36;625,62
;Misses;Germany;140;8522,11;4726,92;2,86;173,92
;Misses;Germany;140;10112,34;6253,72;2,50;180,58
;Misses;Germany;140;12194,64;6253,06;2,41;210,25
60;Misses;Austria;140;6225,90;3829,50;3,26;144,79
;Misses;Germany;140;8285,88;2975,65;2,41;142,86
;Misses;Germany;140;10614,08;4981,45;1,84;139,66
;Misses;Germany;140;7349,78;3574,11;2,80;147,00
;Misses;Germany;140;8697,11;3437,63;2,30;142,58
;Misses;Germany;140;8413,32;3932,83;2,15;129,44
;Misses;Germany;140;8775,95;4065,88;2,50;156,71
38;Misses;Austria;140;4594,01;2145,43;4,38;143,56
47;Misses;Germany;139;7442,08;2848,88;4,09;218,88
58;Misses;Germany;139;8676,35;6079,36;3,39;211,62
;Misses;Germany;139;11325,25;4880,22;2,90;235,94
;Misses;Poland;139;6225,35;1600,96;1,96;87,68
32;Misses;Austria;139;9254,06;4067,90;2,36;156,85
;Misses;Poland;139;6084,52;1983,76;1,99;86,92
36;Misses;Austria;139;8747,77;4724,84;2,21;138,85
;Misses;Germany;139;13402,33;8339,14;1,90;183,59
;Misses;Germany;139;6378,54;2867,82;2,40;109,97
;Misses;Germany;139;8931,15;4446,13;2,36;151,38
;Misses;Germany;139;7558,50;3304,32;2,67;145,36
;Misses;Germany;139;9394,76;5169,69;1,85;125,26
;Misses;Germany;139;11125,80;6773,88;2,62;209,92
42;Misses;Austria;139;7737,17;4424,53;4,21;234,46
;Misses;Germany;139;10283,97;7576,95;2,24;165,87
;Misses;Germany;139;10693,85;6696,86;2,14;164,52
;Misses;Germany;138;10968,84;6161,99;1,97;156,70
;Misses;Germany;138;8123,58;5045,75;2,12;124,98
67;Misses;;138;7264,87;3797,03;1,68;88,60
;Misses;Germany;138;9763,70;4915,36;2,26;160,06
;Misses;Germany;138;5597,07;876,73;2,60;105,61
;Misses;Germany;138;12008,19;5638,44;2,09;181,94
;Misses;Germany;138;12323,52;5987,85;2,51;224,06
;Misses;Germany;138;9351,47;5071,89;2,51;170,03
;Misses;Germany;138;9546,57;6081,26;2,56;176,79
;Misses;Germany;138;9655,36;5460,00;2,26;158,28
;Misses;Germany;138;8775,82;4177,01;2,42;153,96
47;Misses;Austria;138;7727,77;3490,78;2,38;133,24
;Misses;Germany;138;8759,30;6173,80;4,06;257,63
;Misses;Germany;138;11115,42;7440,07;1,89;152,27
46;Misses;Austria;138;8403,54;3418,77;2,38;144,89
;Misses;Germany;138;11355,54;5456,25;2,46;202,78
;Misses;Germany;138;7734,76;4442,11;2,94;164,57
29;Misses;Austria;138;8903,17;4868,67;2,19;141,32
;Misses;Germany;138;9888,96;2995,62;3,00;214,98
;Misses;Germany;137;12509,88;8896,06;2,36;215,69
;Misses;Germany;137;10446,43;6687,30;2,49;189,94
40;Misses;Germany;137;5546,53;3296,89;8,06;326,27
43;Misses;Germany;137;7987,69;4012,90;2,91;169,95
;Misses;Germany;137;8668,92;3961,66;2,32;146,93
;Misses;Germany;137;9742,26;3641,51;1,90;135,31
;Misses;Germany;137;10569,37;5090,54;2,74;211,39
34;Misses;Austria;137;5050,18;1550,42;3,70;136,49
;Misses;Germany;137;9006,73;3220,99;2,80;183,81
;Misses;Germany;137;6946,43;4599,40;2,63;133,59
;Misses;Germany;137;7422,00;3045,59;3,51;190,31
;Misses;Germany;137;7565,52;2743,73;2,01;111,26
;Misses;Germany;137;8427,83;3928,46;2,08;127,69
66;Misses;;137;10071,23;6392,16;2,08;152,59
;Misses;Germany;137;10391,01;4380,40;2,45;185,55
;Misses;Germany;137;8547,04;4953,71;2,36;147,36
;Misses;Germany;137;10121,61;5077,34;2,54;187,44
33;Misses;Germany;136;2478,78;1458,72;8,50;154,92
42;Misses;Austria;136;7597,39;4535,68;3,24;180,89
;Misses;Germany;136;10931,72;5752,92;2,16;173,52
51;Misses;Germany;136;4745,86;2592,23;3,58;124,89
55;Misses;Austria;136;9491,55;4312,34;2,27;158,19
31;Mister;Austria;136;5881,96;3287,70;2,96;127,87
30;Mister;;136;7020,80;2300,74;2,00;103,25
43;Misses;Germany;136;5352,72;4007,94;7,56;297,37
33;Misses;Austria;136;6525,92;3102,62;2,67;127,96
42;Misses;Austria;136;7126,06;4438,58;3,40;178,15
;Misses;Germany;136;11290,14;5336,01;1,77;146,63
;Misses;Germany;136;8980,88;4997,04;2,43;160,37
35;Misses;Austria;136;6786,55;2766,10;2,67;133,07
43;Misses;Austria;135;7967,97;2718,09;3,00;177,07
42;Misses;Germany;135;8635,65;7652,90;3,97;253,99
;Misses;Germany;135;9827,87;4560,28;3,46;252,00
;Misses;Germany;135;9793,04;4818,11;1,99;144,02
;Misses;Germany;135;9418,58;4853,12;2,18;151,91
;Misses;Germany;135;9621,36;3908,33;2,45;174,93
;Misses;Germany;135;9268,39;3927,90;2,50;171,64
;Misses;Germany;135;7030,60;3605,27;2,93;152,84
;Misses;Germany;135;6967,14;3309,42;2,41;124,41
;Misses;Germany;135;8665,09;3754,22;1,99;127,43
;Misses;Germany;135;6858,00;3722,56;2,87;145,91
38;Misses;Germany;135;7357,64;4925,78;7,94;432,80
;Misses;Germany;134;10976,56;4552,32;2,23;182,94
41;Misses;Austria;134;6884,17;4332,78;4,79;245,86
;Misses;Germany;134;8654,78;4228,35;2,06;133,15
;Misses;Germany;134;7674,53;4257,32;2,68;153,49
29;Mister;;134;11211,84;6540,45;2,98;249,15
;Misses;Germany;134;8902,04;7149,85;3,83;254,34
42;Misses;Austria;134;8642,02;3915,98;3,35;216,05
38;Misses;Austria;134;5986,61;3657,18;4,47;199,55
;Misses;Germany;134;12156,44;6278,82;1,94;176,18
;Misses;Germany;134;8061,32;4425,32;2,06;124,02
;Misses;Germany;134;11043,04;4736,02;2,53;208,36
28;Misses;Germany;134;10757,25;2665,59;2,68;215,15
37;Misses;Austria;134;5850,45;2696,59;3,19;139,30
;Misses;Germany;134;6462,91;3563,89;2,27;109,54
37;Misses;Austria;134;7853,40;3563,25;2,31;135,40
;Misses;Germany;134;11933,35;4415,66;2,16;192,47
;Misses;Germany;134;9629,42;5492,74;2,91;209,34
;Misses;Germany;134;7544,02;4391,33;2,20;123,67
;Misses;Germany;134;8316,12;2533,38;2,23;138,60
;Misses;Germany;134;6110,27;2743,81;2,79;127,30
41;Misses;Germany;134;9164,86;3752,61;13,40;916,49
;Misses;Germany;134;6033,61;2193,23;2,63;118,31
;Misses;Germany;134;6499,85;2925,46;2,63;127,45
39;Misses;Austria;134;8260,61;5509,80;3,12;192,11
29;Misses;Germany;134;3880,63;3203,79;9,57;277,19
36;Misses;Austria;134;8106,27;4446,44;3,05;184,23
;Misses;Germany;134;7641,54;3897,06;2,91;166,12
38;Misses;Austria;134;10467,93;6418,51;2,03;158,61
;Misses;Germany;134;8108,94;4032,17;1,84;111,08
;Misses;Germany;133;7957,62;4601,33;1,71;102,02
;Misses;Germany;133;10404,14;4949,99;1,93;150,78
;Misses;Germany;133;11148,28;6854,72;3,02;253,37
23;Misses;;133;9574,94;5441,12;1,80;129,39
34;Mister;Germany;133;3754,99;2740,43;5,78;163,26
31;Misses;Austria;133;7475,19;3014,30;2,51;141,04
;Misses;Germany;133;9702,34;4491,63;1,85;134,75
;Misses;Germany;133;10138,26;6273,38;2,33;177,86
38;Mister;Germany;133;5651,88;2733,83;26,60;1130,38
55;Misses;Austria;133;6959,86;3279,50;2,71;142,04
;Misses;Germany;133;9261,23;5318,95;1,93;134,22
;Misses;Germany;133;8461,07;1078,80;2,83;180,02
55;Misses;Germany;132;7812,88;5541,34;6,95;411,20
;Misses;Germany;132;10428,66;7017,76;2,32;182,96
;Misses;Germany;132;7705,12;3984,48;2,13;124,28
43;Misses;Germany;132;8175,98;4842,77;3,47;215,16
58;Misses;Germany;132;8539,37;4833,23;3,00;194,08
;Misses;Poland;132;6820,11;2005,41;1,65;85,25
;Misses;Germany;132;9450,87;5959,50;2,44;175,02
;Misses;Germany;132;10057,36;5042,45;1,94;147,90
36;Misses;Austria;132;6464,30;3030,83;3,38;165,75
;Misses;Germany;132;6538,96;2172,52;1,89;93,41
;Misses;Germany;132;8167,16;3763,21;2,06;127,61
39;Mister;Germany;132;8082,08;4954,71;1,52;92,90
;Misses;Germany;132;9925,22;6708,00;2,32;174,13
;Misses;Germany;132;6284,48;2497,36;2,40;114,26
;Misses;Germany;131;5416,98;3003,08;3,74;154,77
42;Misses;;131;10179,01;5420,30;2,15;166,87
57;Misses;;131;7899,23;2795,23;2,47;149,04
;Misses;Germany;131;9888,67;4839,03;2,30;173,49
;Misses;Germany;131;11472,15;5115,43;1,98;173,82
;Misses;Germany;131;12547,46;7251,75;2,15;205,70
;Misses;Germany;131;6276,28;2619,42;3,36;160,93
45;Misses;Austria;131;8166,77;4999,82;3,36;209,40
;Misses;Germany;131;8491,58;3195,07;1,87;121,31
;Misses;Germany;131;9973,10;3863,86;2,34;178,09
;Misses;Germany;130;10530,25;5163,64;2,20;178,48
;Misses;Germany;130;6909,26;3629,44;3,94;209,37
43;Misses;Germany;130;9701,46;7046,37;5,00;373,13
;Misses;Germany;130;10298,50;5171,29;2,36;187,25
;Misses;Germany;130;8437,05;5152,77;2,95;191,75
;Misses;Germany;130;11412,69;5918,45;2,45;215,33
;Misses;Germany;130;7785,10;3365,75;1,97;117,96
26;Misses;Austria;130;7864,77;2612,66;3,02;182,90
;Misses;Germany;130;7747,64;2395,91;2,03;121,06
;Misses;Germany;130;7189,58;3233,47;2,03;112,34
;Misses;Germany;130;4896,57;2964,18;4,33;163,22
22;Misses;;130;6714,38;1241,71;1,30;67,14
;Misses;Germany;130;9401,68;4167,93;2,71;195,87
33;Misses;Austria;130;8100,90;3465,18;2,36;147,29
;Misses;Germany;130;7615,68;3298,24;2,55;149,33
32;Misses;Austria;130;8536,76;4311,68;3,02;198,53
31;Misses;Austria;130;9731,07;3816,42;2,55;190,81
39;Misses;Austria;129;5146,20;2341,64;4,16;166,01
41;Misses;Austria;129;9034,07;4213,09;2,63;184,37
;Misses;Germany;129;10095,71;5150,96;3,15;246,24
25;Misses;Germany;129;9695,05;6968,43;5,61;421,52
;Misses;Germany;129;15056,19;7567,33;2,43;284,08
;Misses;Germany;129;9698,94;2849,62;2,15;161,65
;Misses;Germany;129;7721,18;4994,03;2,19;130,87
35;Misses;Austria;129;7418,27;4409,59;3,58;206,06
62;Misses;Germany;129;8482,56;5227,33;9,21;605,90
38;Misses;Germany;129;4697,88;2731,51;4,96;180,69
;Misses;Germany;129;10070,71;3597,58;2,48;193,67
36;Misses;;129;9509,79;4352,87;2,30;169,82
;Misses;Germany;129;6811,24;3922,99;2,87;151,36
;Misses;Germany;129;7744,23;4093,01;2,63;158,05
52;Misses;Germany;129;11165,94;8057,11;3,58;310,17
42;Misses;Germany;129;14818,44;10802,22;3,23;370,46
;Misses;Germany;129;7454,51;2745,38;2,58;149,09
;Misses;Germany;128;8637,78;3938,01;2,33;157,05
;Misses;Germany;128;10421,19;4184,55;1,83;148,87
;Misses;Germany;128;10426,21;5196,52;2,25;182,92
39;Misses;Austria;128;13008,80;8885,11;4,00;406,53
41;Misses;Austria;128;7183,53;3139,34;3,56;199,54
;Misses;Germany;128;8923,35;4075,46;3,28;228,80
;Misses;Germany;128;11293,75;6393,33;2,21;194,72
49;Misses;Austria;128;7701,94;3077,81;2,84;171,15
;Misses;Germany;128;7435,03;2694,72;2,13;123,92
;Misses;Germany;128;8234,75;3630,00;2,29;147,05
59;Misses;Austria;128;4232,40;1720,28;2,61;86,38
;Misses;Germany;128;9106,66;3087,07;2,17;154,35
30;Misses;Austria;128;11104,11;5832,12;2,21;191,45
;Misses;Germany;128;8506,72;3649,51;2,00;132,92
58;Misses;;128;8277,88;2534,17;1,39;89,98
;Misses;Germany;128;8322,21;3564,56;2,46;160,04
57;Misses;Germany;128;5832,30;3115,65;7,11;324,02
34;Misses;Austria;128;5402,00;1347,93;4,13;174,26
;Misses;Germany;128;7609,05;4052,64;2,17;128,97
;Misses;Germany;127;8420,95;2514,66;2,15;142,73
39;Misses;Netherlands;127;5354,73;2019,84;2,27;95,62
44;Misses;Austria;127;9099,19;3420,61;3,10;221,93
35;Misses;Austria;127;6436,55;3345,54;3,10;156,99
;Misses;Germany;127;6167,38;2618,76;2,95;143,43
;Misses;Germany;127;8306,24;3771,23;1,95;127,79
;Misses;Germany;127;9484,95;5427,57;2,44;182,40
;Misses;Germany;127;8460,78;3761,48;1,95;130,17
;Misses;Germany;127;5867,51;2937,56;2,54;117,35
;Misses;Germany;127;9270,40;5238,54;1,84;134,35
54;Misses;Germany;127;12657,72;5697,98;10,58;1054,81
;Misses;Germany;127;4547,13;2074,26;7,47;267,48
34;Misses;Germany;127;18459,77;7860,69;14,11;2051,09
52;Misses;Austria;127;7901,85;4204,19;2,89;179,59
;Misses;Germany;127;6484,59;1962,07;1,72;87,63
35;Misses;Austria;127;9649,86;4917,13;3,43;260,81
;Misses;Germany;127;6916,45;3392,40;2,54;138,33
47;Misses;Germany;127;9407,94;430,95;2,59;192,00
;Misses;Germany;127;5963,94;1712,47;2,40;112,53
34;Misses;;126;11420,04;4312,58;1,94;175,69
38;Misses;Germany;126;4739,59;3186,25;7,88;296,22
;Misses;Germany;126;6455,49;3762,10;3,32;169,88
;Misses;Germany;126;9426,68;4174,99;2,07;154,54
;Misses;Germany;126;9033,74;3759,07;2,07;148,09
23;Misses;Germany;126;3979,14;2836,05;10,50;331,60
;Misses;Germany;126;10561,09;4158,58;1,80;150,87
;Misses;Germany;126;8620,40;3612,56;2,29;156,73
;Misses;Germany;126;6264,33;1557,61;2,38;118,19
;Misses;Germany;126;6312,82;3178,33;1,94;97,12
;Misses;Germany;126;10046,22;3029,27;1,83;145,60
;Misses;Germany;126;6798,74;3321,55;2,93;158,11
;Misses;Germany;126;7594,75;4732,30;3,50;210,97
;Misses;Germany;126;8409,19;3878,55;2,10;140,15
46;Misses;Germany;126;3940,60;1775,37;6,00;187,65
;Misses;Germany;126;8510,67;5187,30;2,80;189,13
;Misses;Germany;126;10819,04;6156,36;2,63;225,40
;Misses;Germany;126;8506,11;4736,63;2,14;144,17
36;Misses;Austria;126;5921,53;2466,66;3,71;174,16
33;Misses;Austria;126;5452,30;3044,61;3,07;132,98
;Misses;Germany;126;7258,56;3371,94;2,47;142,32
37;Misses;Germany;126;8717,58;6596,44;5,25;363,23
;Misses;Germany;126;8738,59;4436,90;1,97;136,54
;Misses;Germany;125;6320,82;3022,94;2,55;129,00
54;Misses;Germany;125;4742,75;3044,22;20,83;790,46
25;Misses;Germany;125;11021,65;5564,47;5,68;500,98
;Misses;Germany;125;7019,39;3672,84;2,66;149,35
;Misses;Germany;125;6642,58;2853,65;2,66;141,33
;Misses;Germany;125;7228,11;2446,61;2,36;136,38
;Misses;Germany;125;7712,15;5583,22;4,63;285,64
;Misses;Germany;125;7935,37;3691,19;1,84;116,70
63;Misses;;125;6419,25;2035,19;1,67;85,59
;Misses;Germany;125;7831,09;3935,91;2,31;145,02
;Misses;Germany;125;7266,89;2031,16;2,02;117,21
42;Misses;Austria;125;5884,29;2544,06;3,68;173,07
49;Misses;Germany;125;6392,49;3958,88;4,81;245,87
;Misses;Germany;125;11426,36;4233,92;2,27;207,75
37;Misses;Germany;125;8663,25;2358,76;13,89;962,58
;Misses;Germany;125;9434,74;4140,20;1,98;149,76
;Misses;Germany;125;10479,54;5419,91;2,19;183,85
;Mister;Germany;125;8868,53;5517,37;3,29;233,38
;Misses;Germany;125;7129,73;3716,37;2,05;116,88
34;Misses;Austria;125;5731,93;1640,51;2,84;130,27
;Misses;Germany;124;7002,10;3484,76;1,94;109,41
;Misses;Germany;124;9523,12;4774,93;2,00;153,60
;Misses;Germany;124;10658,51;5716,11;1,94;166,54
;Misses;Germany;124;10537,55;5993,85;2,18;184,87
;Misses;Germany;124;6732,65;2668,86;2,14;116,08
;Misses;Germany;124;7542,29;2180,51;3,44;209,51
;Misses;Germany;124;6313,41;2923,94;2,30;116,92
;Misses;Germany;124;11474,02;7765,34;2,10;194,47
35;Mister;;124;7266,56;2064,38;1,72;100,92
;Misses;Germany;124;8108,54;5046,04;2,30;150,16
;Misses;Germany;124;7640,24;4539,14;3,65;224,71
;Misses;Germany;124;7991,07;4113,78;2,21;142,70
;Misses;Germany;124;8251,02;4518,20;2,34;155,68
47;Misses;Austria;124;8889,25;4446,18;2,88;206,73
53;Misses;;124;11475,14;7319,90;2,03;188,12
57;Misses;Austria;124;6254,83;1779,52;2,88;145,46
;Misses;Germany;124;5587,30;2616,47;2,64;118,88
46;Misses;;124;10629,34;4973,24;2,30;196,84
;Misses;Germany;124;8199,66;4731,88;2,95;195,23
;Misses;Germany;124;8370,97;4705,85;2,70;181,98
29;Misses;Austria;124;10132,02;6108,63;2,21;180,93
35;Misses;Austria;124;5451,10;2212,36;3,18;139,77
38;Mister;Austria;124;6571,52;1876,43;2,70;142,86
;Misses;Germany;124;8127,48;2556,14;1,80;117,79
;Misses;Germany;124;9625,52;5532,24;2,64;204,80
;Misses;Germany;123;8646,43;4124,48;2,16;151,69
;Misses;Germany;123;10903,58;4189,61;2,32;205,73
43;Misses;Austria;123;5023,55;1657,17;3,51;143,53
;Misses;Germany;123;7069,97;2903,82;2,05;117,83
57;Misses;Germany;123;8130,25;5150,15;2,62;172,98
;Misses;Germany;123;7904,16;4376,83;1,92;123,50
;Misses;Germany;123;8813,26;3679,09;2,67;191,59
;Misses;Germany;123;6173,07;3467,34;2,46;123,46
;Misses;Germany;123;7137,99;4199,32;2,05;118,97
;Misses;Germany;123;6504,82;2732,31;3,15;166,79
62;Misses;Germany;123;6222,67;4033,48;9,46;478,67
;Misses;Austria;123;6215,88;2606,18;2,56;129,50
;Misses;Germany;123;13118,77;8092,88;2,46;262,38
;Misses;Germany;123;7225,93;3974,34;2,32;136,34
;Misses;Germany;123;10851,41;5809,29;1,78;157,27
24;Mister;Germany;123;5177,62;697,55;6,47;272,51
49;Misses;Germany;123;5898,47;4073,59;4,92;235,94
47;Misses;Austria;123;8980,91;4718,72;2,37;172,71
;Misses;Germany;123;11291,41;7981,45;2,20;201,63
;Misses;Germany;123;8012,27;4498,80;2,37;154,08
;Misses;Germany;123;6936,83;3164,36;2,24;126,12
44;Misses;Austria;123;6338,32;3363,02;3,42;176,06
21;Misses;;123;6115,71;1893,38;1,40;69,50
;Misses;Germany;123;7340,36;5173,57;2,46;146,81
47;Misses;Germany;123;7146,96;5700,75;4,24;246,45
;Misses;Germany;123;9627,31;5519,90;2,05;160,46
42;Mister;Austria;123;5941,23;3074,00;3,73;180,04
47;Misses;;122;9526,41;4772,30;2,22;173,21
;Misses;Germany;122;8508,84;4372,95;1,77;123,32
;Mister;Germany;122;7823,17;677,92;1,37;87,90
;Misses;Germany;122;8207,59;4670,11;3,30;221,83
;Misses;Germany;122;9066,22;3081,54;2,54;188,88
;Misses;Germany;122;9087,57;6061,63;2,26;168,29
56;Misses;Austria;122;7370,39;4882,79;3,81;230,32
39;Misses;Austria;122;4486,03;2262,22;3,70;135,94
57;Misses;Austria;122;8142,97;3795,28;3,81;254,47
31;Misses;Austria;122;6000,72;3164,00;4,07;200,02
;Misses;Germany;122;8887,53;5098,52;2,65;193,21
31;Mister;;122;8197,20;5713,91;3,05;204,93
;Misses;Germany;122;7235,08;3208,08;1,91;113,05
;Misses;Germany;122;8427,35;4460,93;2,44;168,55
;Misses;Germany;122;10894,07;5992,28;2,71;242,09
39;Misses;Germany;122;4013,38;2556,27;9,38;308,72
31;Mister;Poland;122;32397,67;0,00;7,18;1905,75
47;Misses;Germany;122;4379,38;3327,75;8,13;291,96
;Misses;Germany;122;6906,37;2375,64;2,18;123,33
;Misses;Germany;122;11155,49;6179,44;2,39;218,74
;Misses;Germany;122;7624,94;6035,66;2,65;165,76
48;Misses;Germany;122;8527,58;4129,19;1,74;121,82
23;Misses;Austria;121;6163,63;1646,18;2,24;114,14
38;Mister;Poland;121;3768,20;686,25;30,25;942,05
39;Misses;Austria;121;5221,78;1561,08;4,03;174,06
;Misses;Germany;121;7010,68;3592,18;2,20;127,47
;Misses;Germany;121;5120,44;2777,69;2,95;124,89
31;Misses;Austria;121;6917,90;4425,09;2,24;128,11
;Misses;Germany;121;6742,82;2806,63;2,12;118,30
;Misses;Germany;121;8982,76;2239,72;2,24;166,35
;Misses;Germany;121;10173,86;5420,78;2,16;181,68
49;Misses;Germany;121;6896,15;3187,78;5,76;328,39
;Misses;Poland;121;5908,03;2840,41;2,24;109,41
34;Mister;Austria;121;4630,00;1671,69;3,67;140,30
65;Misses;Austria;121;5644,52;2256,18;3,27;152,55
47;Misses;Germany;121;10543,57;3663,07;3,10;270,35
32;Mister;;121;9000,87;3920,01;2,47;183,69
30;Misses;Austria;121;6313,35;2633,00;3,36;175,37
53;Misses;Austria;121;6304,87;2347,47;2,28;118,96
56;Misses;Austria;121;7369,32;2970,03;2,57;156,79
;Misses;Germany;121;7260,89;3655,04;2,47;148,18
;Misses;Germany;120;8795,02;4056,88;2,22;162,87
;Misses;Germany;120;9325,39;6054,26;1,97;152,88
29;Misses;Austria;120;7517,10;4120,64;2,31;144,56
35;Mister;Austria;120;4632,75;1680,82;10,00;386,06
46;Misses;Austria;120;5354,60;3028,74;4,14;184,64
;Misses;Germany;120;6234,17;1932,21;2,61;135,53
;Misses;Germany;120;6311,35;3774,98;2,61;137,20
;Misses;Germany;120;9789,87;3717,58;1,74;141,88
;Misses;Germany;120;8068,36;3168,21;2,22;149,41
;Misses;Germany;120;6070,75;1739,99;2,45;123,89
;Misses;Germany;120;8237,07;2297,87;1,79;122,94
;Misses;Germany;120;7270,75;4010,81;2,35;142,56
;Misses;Germany;120;7037,08;4021,73;2,73;159,93
42;Misses;Germany;120;9532,08;7413,26;1,67;132,39
26;Misses;Austria;120;6406,07;2407,61;3,16;168,58
;Misses;Germany;120;7646,97;3932,94;1,97;125,36
;Misses;Germany;120;6912,33;2812,72;3,16;181,90
;Mister;Germany;119;8803,39;5806,52;4,76;352,14
;Misses;Germany;119;7153,79;4201,81;1,98;119,23
;Misses;Germany;119;8988,92;3640,15;2,02;152,35
;Misses;Germany;119;7434,23;2998,87;1,65;103,25
;Misses;Germany;119;7869,76;4508,07;2,90;191,95
51;Misses;Germany;119;7983,59;4933,52;4,41;295,69
;Misses;Germany;119;8113,15;4479,02;2,16;147,51
31;Misses;Austria;119;7222,62;5302,99;3,31;200,63
;Misses;Germany;119;8581,95;4196,32;1,95;140,69
;Misses;Germany;119;9168,94;3699,86;2,16;166,71
;Misses;Germany;119;10512,57;5248,47;2,13;187,72
45;Misses;Austria;119;7334,59;3030,97;2,98;183,36
;Misses;Germany;119;7261,78;3907,27;1,95;119,05
;Misses;Germany;119;7935,70;2005,71;3,31;220,44
;Misses;Germany;119;7282,44;3928,69;2,59;158,31
;Misses;Germany;119;7451,56;2843,05;2,48;155,24
;Misses;Germany;119;8303,26;3479,44;1,92;133,92
;Misses;Germany;119;6898,36;2615,87;2,05;118,94
;Misses;Germany;119;5226,28;2342,80;3,84;168,59
;Misses;Germany;119;8583,47;4701,29;2,43;175,17
;Misses;Germany;119;7522,50;3928,35;2,09;131,97
;Misses;Germany;119;8226,51;3903,71;1,98;137,11
;Misses;Germany;119;6829,36;3524,42;3,97;227,65
;Misses;Germany;119;6451,50;3168,47;2,64;143,37
;Misses;Germany;119;9270,82;5769,47;2,16;168,56
;Misses;Germany;119;7450,50;2817,18;2,29;143,28
;Misses;Germany;119;9286,94;4175,43;1,83;142,88
;Misses;Germany;118;10879,63;7295,59;2,00;184,40
;Misses;Germany;118;7229,48;3268,57;2,81;172,13
;Misses;Germany;118;6898,85;3020,17;2,31;135,27
;Misses;Germany;118;7582,48;3551,93;2,00;128,52
21;Misses;Poland;118;1816,29;1145,47;2,31;35,61
36;Misses;Austria;118;8348,97;4765,99;3,93;278,30
52;Misses;Germany;118;7293,49;4963,42;3,03;187,01
;Misses;Germany;118;5930,00;2349,39;2,27;114,04
;Misses;Germany;118;9914,09;4195,20;1,82;152,52
47;Mister;;118;7360,38;2652,76;4,21;262,87
;Misses;Germany;118;7557,07;4161,27;2,57;164,28
59;Misses;;118;9089,25;4356,33;1,97;151,49
31;Misses;Austria;118;7039,17;4068,39;3,19;190,25
42;Mister;Poland;118;10314,13;6977,66;16,86;1473,45
;Misses;Germany;118;6547,12;3312,83;2,31;128,37
39;Misses;Austria;118;5427,25;2500,07;3,19;146,68
50;Misses;Germany;118;5081,82;3808,10;5,62;241,99
;Misses;Austria;118;6077,31;2282,95;2,23;114,67
;Misses;Germany;117;8655,08;4402,54;2,17;160,28
37;Misses;Austria;117;5798,23;3324,25;10,64;527,11
;Misses;Germany;117;11298,34;5027,10;2,29;221,54
;Misses;Germany;117;6904,78;2044,48;2,72;160,58
;Misses;Germany;117;8317,98;4200,43;2,25;159,96
;Misses;Germany;117;9183,65;3880,89;2,85;223,99
;Misses;Germany;117;7902,08;4556,19;2,66;179,59
;Misses;Germany;117;9818,86;7531,06;2,39;200,38
;Misses;Germany;117;6557,38;2288,95;2,72;152,50
;Misses;Germany;117;8857,58;3683,21;2,17;164,03
;Misses;Germany;117;5943,00;2564,23;2,85;144,95
;Misses;Germany;117;7270,58;3231,50;1,80;111,86
;Mister;Germany;117;6467,32;2280,19;3,77;208,62
27;Misses;Austria;117;6380,59;3606,57;3,25;177,24
;Misses;Germany;117;9356,22;4709,51;2,21;176,53
;Misses;Germany;117;7750,60;3309,15;2,29;151,97
45;Misses;;117;9481,26;4806,19;2,25;182,33
28;Misses;;117;10412,45;6652,47;2,25;200,24
;Misses;Germany;117;6968,11;3813,88;4,18;248,86
46;Misses;Austria;117;7833,14;4056,35;2,29;153,59
